label_num,cleaned_text,original_length
1,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml polonium box mk h ppw,164
1,call germany for only pence per minute call from a fixed line via entree number no prepayment direct access,128
1,person has contacted our dating service and entered your phone becausethey fancy you to find out who it is call from a landline pobox wrg p,160
0,kkwhy cant you come here and search job,47
1,you are chosen to receive angstrom award pls call claim number to collect your award which you are selected to receive as a valued mobile customer,166
1,would you like to see my xxx pics they are sol hot they were nearly ban in the uk,82
0,no but you told me you were going before you got drunk,58
0,what is important is that you prevent dehydration by giving her enough fluids,78
1,no nokia tone ur mob every week just txt nok to st tone free so get txtin now and tell ur friends ptone answer hectoliter info,152
1,privateyour account statement for shows simpointscall identifier expires,125
0,boo babe u enjoyin yourjob u seemed b gettin on well hunnyhope ure oktake care illspeak u soonlots of loveme xxxx,128
0,how much i gave to you morning,33
1,free entry to the grprizes wkly comp a opportunity to win the latest nokia psp or cash every wktxt great to linktoken,165
1,get your garden ready for summer with a free selection of summer bulbs and seeds worth only with the scotsman this saturday to stop go notxtcouk,157
0,well imma definitely need to restock before thanksgiving ill let you know when im out,89
0,nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication it is very champlaxigating i think it is atrocious wotz ur opinion junna,275
1,dear customer your number was selected for a bonus payout do not miss this opportunity,89
0,nah im goin the wrks with j wot bout u,42
0,i dont have that much image in class,38
0,spending new years with my brother and his family lets plan to meet next week are you ready to be spoiled,112
1,congratulations ur awarded of cd vouchers or gift guaranteed free entry wkly draw txt music to tncs linktoken,151
1,praise ur award either of cd gift vouchers free entry our weekly draw txt music to tncs linktoken,139
1,you rich person won angstrom guaranteed cash or angstrom prizeto claim yr prize call our customer service representative on,138
1,latest news police station toilet stolen cops rich person nothing to go on,77
0,lol grins im not babe but thanks for thinking of me,63
0,babe have you got enough money to pick up bread and milk and ill give you it back when you get home,106
1,for the most sparkling shopping breaks from pp call or visit linktoken,101
0,hitechnical supportproviding assistance to us customer through call and email,84
1,summers finally here fancy a chat or flirt with sexy singles in year area to get matched up just reply summer now free join optout txt stop help,161
1,final notice claim your exclusive reward now act fast,56
1,am new club dont fink we met yet will b gr c u please leave monosodium glutamate day wiv ur area reply promised carlie ten callsminmobsmore lkpoboxhpfl,180
1,we presently rich person a message awaiting your collection to collect your message just call,107
1,urgent please call from landline cash or angstrom luxury canary island holiday await collection tcs sae award maq ppm,160
0,u come n search tat vidnot finishd,39
1,dont b floppy b snappy happy only gay chat service with photo upload call pmin stop our texts call,138
0,hi hope u r both ok he said he would text and he hasnt have u seen him let me down gently please,102
1,your chance to beryllium on a reality fantasy show call now just p per min ntt ltd po box croydon cr wb is a national rate call,159
1,we tried to contact you re your reply to our offer of a video handset anytime network mins unlimited text camcorder reply or call now,153
0,a famous quote when you develop the ability to listen to anything unconditionally without losing your temper or self confidence it means you are married,170
1,you have been specially selected to receive a pound award call before the lines close cost ppm tcs apply ag promo,143
0,gud mrng dear hav a nice day,29
0,i dont want to hear anything,29
1,do you want a new nokia i colour phone deliveredtomorrow with free minutes to any mobile free text free camcorder reply or call,172
0,he says hi and to get your ass back to south tampa preferably at a kegger,76
0,imagine you finally get to sink into that bath after i have put you through your paces maybe even having you eat me for a while before i left but also imagine the feel of that cage on your cock surrounded by the bath water reminding you always who owns you enjoy my cuck,282
0,you see the requirements please,32
0,si will take mokka players only,37
0,are you driving or training,29
1,urgent message regarding your shopping coupon reply yes to claim,66
0,take some small dose tablet for fever,38
0,ok then u tell me wat time u coming later lor,47
0,am on a train back from northampton so im afraid not,57
0,sorry man accidentally left my phone on silent last night and didnt check it til i got up,92
0,no messageno responcewhat happend,39
0,hi there we have now moved in our pub would be great c u if u cud come up,81
1,welcome to ukmobiledate this msg is free giving you free calling to future mgs charge at p daily to natural send go stop to,150
0,open rebtel with firefox when it loads just put plus sign in the user name place and it will show you two numbers the lower number is my number once you pick that number the pin will display okay,201
0,hey next sun theres a basic yoga course at bugis we can go for that pilates intro next sat tell me what time you r free,139
1,as angstrom valued customer i am pleased to rede you that following recent review of your mob no you are awarded with angstrom bonus prize call,165
1,we know someone who you know that fancies you call to discovery out who pobox lshb p,106
1,congrats year special cinema pass for be yours call now degree centigrade suprman v matrix starwars etc all free bxipwe pm dont miss out,176
0,coffee cake i guess,24
0,lmao take a pic and send it to me,36
1,network operatorthis service is freefor tc visit biz,61
1,todays voda numbers ending are selected to receive a award if you rich person a match please call quoting claim code standard rates app,163
1,buy space invaders a chance win orig arcade game console press for game arcade std wap charge see ocoukgames terms settings no purchase,153
1,free unlimited hardcore porn direct your mobile txt porn to get free access for hrs then chrgdp per day txt stop exit this msg is free,153
1,congratulations ur award of cd voucher or gift guaranteed free entry wkly draw txt music to tncs linktoken,147
0,ahhhhjust woken uphad a bad dream about u thoso i dont like u right now i didnt know anything about comedy night but i guess im up for it,147
0,what you doinghow are you,28
0,even if he my friend he is a priest call him now,49
0,i will lick up every drop are you ready to use your mouth as well,70
1,someone has contacted our dating service and entered your telephone because they fancy you to find out who it is call from a landline poboxntfp,166
0,new theory argument wins d situation but loses the person so dont argue with ur friends just kick them amp say im always correct,146
1,you are eligible for a gift card do not miss this opportunity,63
1,free tarot card texts discovery out about your love life now try for free text chance to only after free msgs each,141
1,free camera phones with linerental from month with cross ntwk mins price txt bundle deal also avble call or calloptoutj mf,151
0,ok,3
1,forwarded from hi this is your mailbox messaging sms alert you have messages you have matches please call back on to retrieve your messages and matches,184
1,congratulations you have won a shopping coupon confirm within hours,73
1,hello there is information regarding your account please review at your convenience,85
0,do i i thought i put it back in the box,41
0,yes my reg is ciao,22
1,text meet someone sexy today u can find a date oregon even flirt its up to u join just p reply with name age eg surfacetoair missile msg recdthirtyeight pence,180
0,im realy soz imat my mums nite what about moro,50
1,xmas offer latest motorola sonyericsson nokia free bluetooth or dvd double mins txt on orange call mobileupd on or calloptoutqf,160
0,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,290
1,someone u know has asked our dating service contact you buzzword guess who call now all will be revealed po box m wu,138
1,valentines day specialwin over in our quiz and take your partner on the trip of a lifetimesend go to nowrcvd pmessagecustcare,160
0,you made my day do have a great day too,42
0,carlos says hell be at mu in ltgt minutes,50
0,its still not working and this time i also tried adding zeros that was the savings the checking is ltgt,115
0,guess he wants alone time we could just show up and watch when they do,74
0,never blame a day in ur life good days give u happiness bad days give u experience both are essential in life all are gods blessings good morning,153
0,enjoy the showers of possessiveness poured on u by ur loved ones bcoz in this world of lies it is a golden gift to be loved truly,134
1,text base on balls to to collect your polyphonic ringtones normal gprs charge apply only enjoy your tones,113
1,you rich person been specially selected to receive angstrom award call before the lines close cost ppm tcs apply ag promo,151
0,sorry i now then c ur msg yar lor so poor thing but only one night tmr ull have a brand new room sleep in,123
1,private your account statement for show unredeemed s i m points call identifier code run out,135
0,i not busy juz dun wan go so early hee,46
0,ok,5
1,the current leading bid is to pause this auction send out customer care,91
0,at what time are you coming,29
1,u have won a nokia plus a free digital camera this is what uracil get when uracil win our free auction to take part send nokia to now poboxtcrw,168
0,okey doke im at home but not dressed cos laying around ill speak to you later bout times and stuff,105
1,wamma get laidwant real doggin locations sent direct to your mobile articulation the uks largest dogging network txt dogs to nownyt eca lp msg,164
0,need a coffee run tomocant believe its that time of week already,68
0,good morning princess have a great day,41
0,you give us back my id proof and ltgt rs we wont allow you to work we will come to your home within days,114
0,s daal r above ltgt,28
0,nope im not drivin i neva develop da photos lei,55
0,kkits goodwhen are you going,36
1,just a quick note we tried to reach you about an update please check when you have time,89
0,ya even those cookies have jelly on them,41
1,sorry iodine miss your call lets talk when you have the time im on,81
1,free camera phones with linerental from month with cross ntwk mins monetary value txt bundle deals also avble call oregon calloptoutj mf,165
1,great news call freefone to claim your guaranteed cash or gift speak to a live operator now,121
1,congratulations you have won a gift card contact us immediately,66
1,mobile club choose any of the top quality item for your mobile cfcaa,72
0,alright i have a new goal now,30
0,i should add that i dont really care and if you cant i can at least get this dude to fuck off but hey your money if you want it,133
1,dear customer your number was selected for a exclusive reward act fast,73
1,got what it takes take part in the wrc rally in oz u can with lucozade energy text rally le to p see packs oregon lucozadecoukwrc itcould be u,163
0,my friend shes studying at warwick weve planned to go shopping and to concert tmw but it may be canceled havnt seen for ages yeah we should get together sometime,172
1,got what it takes take part inch the wrc rally inch oz uracil can with lucozade energy text rally le to p see packs or lucozadecoukwrc itcould be u,168
1,this is the nd time we rich person tried contact u u rich person won the pound prize claim is easy call now only p per minute btnationalrate,175
0,can i meet at as where depends on where wan in lor,67
1,urgent call from landline your complimentary ibiza holiday oregon cash await collection sae tcs po box sk wp ppm,151
1,new textbuddy chat horny guys in ur area just p free receive search zip code or astatine gaytextbuddycom txt one name to,136
0,yavnt tried yet and never played original either,49
0,oh ok i didnt know what you meant yep i am baby jontin,56
0,lemme know when i can swing by and pick up im free basically any time after all this semester,98
0,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem,120
